n,koff
614.,1.498371335504886
615.,1.4959349593495934
616.,1.4935064935064934
617.,1.4910858995137763
618.,1.4886731391585761
619.,1.4862681744749595
620.,1.4838709677419355
621.,1.4814814814814814
622.,1.4790996784565917
623.,1.4767255216693418
624.,1.4743589743589745
625.,1.472
626.,1.4696485623003195
627.,1.467304625199362
628.,1.464968152866242
629.,1.4626391096979332
630.,1.4603174603174602
631.,1.4580031695721078
632.,1.4556962025316456
633.,1.4533965244865719
634.,1.4511041009463723
635.,1.4488188976377954
636.,1.4465408805031446
637.,1.444270015698587
638.,1.4420062695924765
639.,1.4397496087636932
640.,1.4375
641.,1.435257410296412
642.,1.4330218068535825
643.,1.4307931570762054
644.,1.4285714285714286
